0; Time; S1posx; S1posy; S1posz; S2posx; S2posy; S2posz; S3posx; S3posy; S3posz; S4posx; S4posy; S4posz; S5posx; S5posy; S5posz; 
78; 0.77; -0.02490728; 1.848336; 0.03540805; 0.08464924; 1.169339; -0.1395213; -0.1178489; 1.353789; -0.1444052; 0.002929489; 0.09230243; -1.04028; -0.3756096; 0.01649218; -0.9261038; 
79; 0.78; -0.0384912; 1.847647; 0.03957016; 0.08233967; 1.182527; -0.1374554; -0.1208751; 1.376411; -0.1462852; 0.00295167; 0.09236799; -1.040266; -0.375609; 0.01647922; -0.9261104; 
80; 0.79; -0.0384912; 1.847647; 0.03957016; 0.08233967; 1.182527; -0.1374554; -0.1208751; 1.376411; -0.1462852; 0.00295167; 0.09236799; -1.040266; -0.375609; 0.01647922; -0.9261104; 
81; 0.8; -0.04403286; 1.847392; 0.04217987; 0.08311049; 1.192029; -0.1380627; -0.1211383; 1.384835; -0.1479554; 0.002951119; 0.09239893; -1.040252; -0.3756045; 0.01649689; -0.9260975; 
82; 0.81; -0.05158099; 1.847662; 0.04792681; 0.08521556; 1.215337; -0.1401363; -0.1209596; 1.39244; -0.1535012; 0.002943111; 0.09230555; -1.040241; -0.3756002; 0.01649169; -0.9260925; 
83; 0.82; -0.05377284; 1.847932; 0.05155508; 0.08533203; 1.227942; -0.140377; -0.1202553; 1.392145; -0.1587954; 0.00295078; 0.09238995; -1.040269; -0.3755874; 0.01648068; -0.9260833; 
84; 0.83; -0.05377284; 1.847932; 0.05155508; 0.08533203; 1.227942; -0.140377; -0.1202553; 1.392145; -0.1587954; 0.00295078; 0.09238995; -1.040269; -0.3755874; 0.01648068; -0.9260833; 
85; 0.84; -0.05377284; 1.847932; 0.05155508; 0.08533203; 1.227942; -0.140377; -0.1202553; 1.392145; -0.1587954; 0.00295078; 0.09238995; -1.040269; -0.3755874; 0.01648068; -0.9260833; 
86; 0.85; -0.05377284; 1.847932; 0.05155508; 0.08533203; 1.227942; -0.140377; -0.1202553; 1.392145; -0.1587954; 0.00295078; 0.09238995; -1.040269; -0.3755874; 0.01648068; -0.9260833; 
87; 0.86; -0.05377284; 1.847932; 0.05155508; 0.08533203; 1.227942; -0.140377; -0.1202553; 1.392145; -0.1587954; 0.00295078; 0.09238995; -1.040269; -0.3755874; 0.01648068; -0.9260833; 
88; 0.87; -0.05377284; 1.847932; 0.05155508; 0.08533203; 1.227942; -0.140377; -0.1202553; 1.392145; -0.1587954; 0.00295078; 0.09238995; -1.040269; -0.3755874; 0.01648068; -0.9260833; 
89; 0.88; -0.05377284; 1.847932; 0.05155508; 0.08533203; 1.227942; -0.140377; -0.1202553; 1.392145; -0.1587954; 0.00295078; 0.09238995; -1.040269; -0.3755874; 0.01648068; -0.9260833; 
90; 0.89; -0.05377284; 1.847932; 0.05155508; 0.08533203; 1.227942; -0.140377; -0.1202553; 1.392145; -0.1587954; 0.00295078; 0.09238995; -1.040269; -0.3755874; 0.01648068; -0.9260833; 
91; 0.9; -0.05377284; 1.847932; 0.05155508; 0.08533203; 1.227942; -0.140377; -0.1202553; 1.392145; -0.1587954; 0.00295078; 0.09238995; -1.040269; -0.3755874; 0.01648068; -0.9260833; 
92; 0.91; -0.05377284; 1.847932; 0.05155508; 0.08533203; 1.227942; -0.140377; -0.1202553; 1.392145; -0.1587954; 0.00295078; 0.09238995; -1.040269; -0.3755874; 0.01648068; -0.9260833; 
